模型训练开始，起始时间：2024-07-13 06:23:43.091239
当前Batch：2540/6035 | 当前epoch:0/50 | 当前损失值：4.7731 | 当前准确率：36.17%
当前Batch：2550/6035 | 当前epoch:0/50 | 当前损失值：5.1669 | 当前准确率：22.53%
当前Batch：2560/6035 | 当前epoch:0/50 | 当前损失值：5.2661 | 当前准确率：20.83%
当前Batch：2570/6035 | 当前epoch:0/50 | 当前损失值：5.3459 | 当前准确率：21.20%
当前Batch：2580/6035 | 当前epoch:0/50 | 当前损失值：4.707 | 当前准确率：32.56%
当前Batch：2590/6035 | 当前epoch:0/50 | 当前损失值：5.047 | 当前准确率：26.04%
当前Batch：2600/6035 | 当前epoch:0/50 | 当前损失值：5.1736 | 当前准确率：22.83%
当前Batch：2610/6035 | 当前epoch:0/50 | 当前损失值：5.5427 | 当前准确率：21.85%
当前Batch：2620/6035 | 当前epoch:0/50 | 当前损失值：4.6866 | 当前准确率：28.67%
当前Batch：2630/6035 | 当前epoch:0/50 | 当前损失值：5.3279 | 当前准确率：17.99%
当前Batch：2640/6035 | 当前epoch:0/50 | 当前损失值：4.8852 | 当前准确率：26.61%
当前Batch：2650/6035 | 当前epoch:0/50 | 当前损失值：4.5047 | 当前准确率：37.74%
当前Batch：2660/6035 | 当前epoch:0/50 | 当前损失值：5.0469 | 当前准确率：23.77%
当前Batch：2670/6035 | 当前epoch:0/50 | 当前损失值：5.5559 | 当前准确率：18.52%
当前Batch：2680/6035 | 当前epoch:0/50 | 当前损失值：5.0146 | 当前准确率：25.71%
当前Batch：2690/6035 | 当前epoch:0/50 | 当前损失值：4.9117 | 当前准确率：26.48%
当前Batch：2700/6035 | 当前epoch:0/50 | 当前损失值：4.6164 | 当前准确率：28.16%
当前Batch：2710/6035 | 当前epoch:0/50 | 当前损失值：4.7828 | 当前准确率：27.83%
当前Batch：2720/6035 | 当前epoch:0/50 | 当前损失值：4.6036 | 当前准确率：30.95%
当前Batch：2730/6035 | 当前epoch:0/50 | 当前损失值：5.1112 | 当前准确率：24.21%
当前Batch：2740/6035 | 当前epoch:0/50 | 当前损失值：5.239 | 当前准确率：22.57%
当前Batch：2750/6035 | 当前epoch:0/50 | 当前损失值：5.1585 | 当前准确率：22.05%
当前Batch：2760/6035 | 当前epoch:0/50 | 当前损失值：5.4243 | 当前准确率：19.27%
当前Batch：2770/6035 | 当前epoch:0/50 | 当前损失值：5.1695 | 当前准确率：24.83%
当前Batch：2780/6035 | 当前epoch:0/50 | 当前损失值：5.1578 | 当前准确率：22.26%
当前Batch：2790/6035 | 当前epoch:0/50 | 当前损失值：5.706 | 当前准确率：19.71%
